"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Legislative District 12 - State Representative Pos. 2","Daniel Scott","(Prefers Republican Party)",8340,23.54,"Legislative"
"Legislative District 12 - State Representative Pos. 2","WRITE-IN"," ",1602,4.52,"Legislative"
"LEGISLATIVE DISTRICT 13 - State Representative Pos. 1","Tom Dent","(Prefers Republican Party)",23543,96.61,"Legislative"
"LEGISLATIVE DISTRICT 13 - State Representative Pos. 1","WRITE-IN"," ",826,3.39,"Legislative"
"LEGISLATIVE DISTRICT 13 - State Representative Pos. 2","Alex Ybarra","(Prefers Republican Party)",23404,96.98,"Legislative"
"LEGISLATIVE DISTRICT 13 - State Representative Pos. 2","WRITE-IN"," ",728,3.02,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Senator","Curtis King","(Prefers Republican Party)",8324,58.02,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Senator","Maria Beltran","(Prefers Democratic Party)",5988,41.74,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Senator","WRITE-IN"," ",35,0.24,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 1","Andy Kallinen","(Prefers Republican Party)",4288,30.22,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 1","Chelsea Dimas","(Prefers Democratic Party)",5241,36.94,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 1","Gloria Mendoza","(Prefers Republican Party)",4627,32.61,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 1","WRITE-IN"," ",32,0.23,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 2","Eddie Perez","(States No Party Preference)",870,6.14,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 2","Ana Ruiz Kennedy","(Prefers Democratic Party)",5588,39.44,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 2","Deb Manjarrez","(Prefers Republican Party)",7681,54.22,"Legislative"
"LEGISLATIVE DISTRICT 14 - State Representative Pos. 2","WRITE-IN"," ",28,0.2,"Legislative"
"LEGISLATIVE DISTRICT 15 - State Representative Pos. 1","Chris Corry","(Prefers Republican Party)",25616,75.57,"Legislative"
"LEGISLATIVE DISTRICT 15 - State Representative Pos. 1","Chase Foster","(States No Party Preference)",7901,23.31,"Legislative"
"LEGISLATIVE DISTRICT 15 - State Representative Pos. 1","WRITE-IN"," ",382,1.13,"Legislative"
"LEGISLATIVE DISTRICT 15 - State Representative Pos. 2","Jeremie Dufault","(Prefers Republican Party)",24133,74.49,"Legislative"
"LEGISLATIVE DISTRICT 15 - State Representative Pos. 2","Rich Bright","(Prefers Republican Party)",7277,22.46,"Legislative"
"LEGISLATIVE DISTRICT 15 - State Representative Pos. 2","WRITE-IN"," ",988,3.05,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Senator","Perry Dozier","(Prefers Republican Party)",22963,63.78,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Senator","Kari Isaacson","(Prefers Democratic Party)",13012,36.14,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Senator","WRITE-IN"," ",31,0.09,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Representative Pos. 1","Mark Klicker","(Prefers Republican Party)",23303,64.76,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Representative Pos. 1","Linda Gunshefski","(Prefers Democratic Party)",12660,35.18,"Legislative"
"LEGISLATIVE DISTRICT 16 - State Representative Pos. 1","WRITE-IN"," ",22,0.06,"Legislative"
"Legislative District 16 - State Representative Pos. 2","Skyler Rude","(Prefers Republican Party)",23927,66.72,"Legislative"
"Legislative District 16 - State Representative Pos. 2","Craig R Woodard","(Prefers Democratic Party)",11895,33.17,"Legislative"
"Legislative District 16 - State Representative Pos. 2","WRITE-IN"," ",40,0.11,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Senator","Paul Harris","(Prefers Republican Party)",22930,50.62,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Senator","Marla Keethler","(Prefers Democratic Party)",22287,49.2,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Senator","WRITE-IN"," ",84,0.19,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Representative Pos. 1","Kevin Waters","(Prefers Republican Party)",27933,92.05,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Representative Pos. 1","WRITE-IN"," ",2414,7.95,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Representative Pos. 2","Hannah Joy","(Prefers Republican Party)",11129,24.65,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Representative Pos. 2","David Stuebe","(Prefers Republican Party)",12412,27.49,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Representative Pos. 2","Terri Niles","(Prefers Democratic Party)",21551,47.74,"Legislative"
"LEGISLATIVE DISTRICT 17 - State Representative Pos. 2","WRITE-IN"," ",51,0.11,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Senator","Greg Cheney","(Prefers Republican Party)",9525,21.94,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Senator","Brad Benton","(Prefers Republican Party)",13783,31.75,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Senator","Adrian Cortes","(Prefers Democratic Party)",20066,46.22,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Senator","WRITE-IN"," ",39,0.09,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 1","Stephanie McClintock","(Prefers Republican Party)",23739,55.3,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 1","Deken Letinich","(Prefers Democratic Party)",19138,44.58,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 1","WRITE-IN"," ",50,0.12,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 2","John Ley","(Prefers Republican Party)",16590,38.44,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 2","Philip L. Johnson","(Prefers Republican Party)",5889,13.64,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 2","John Zingale","(Prefers Democratic Party)",20641,47.82,"Legislative"
"LEGISLATIVE DISTRICT 18 - State Representative Pos. 2","WRITE-IN"," ",41,0.09,"Legislative"
"Legislative District 19 - State Senator","Jeff Wilson","(Prefers Republican Party)",25826,60.1,"Legislative"
"Legislative District 19 - State Senator","Andi Day","(Prefers Democratic Party)",17081,39.75,"Legislative"
"Legislative District 19 - State Senator","WRITE-IN"," ",65,0.15,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Representative Pos. 1","Jim Walsh","(Prefers Republican Party)",25771,59.55,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Representative Pos. 1","Mike Coverdale","(Prefers Democratic Party)",17450,40.32,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Representative Pos. 1","WRITE-IN"," ",54,0.12,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Representative Pos. 2","Terry Carlson","(Prefers Democratic Party)",16330,38.1,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Representative Pos. 2","Joel McEntire","(Prefers Republican Party)",25007,58.35,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Representative Pos. 2","Justin Franks","(Prefers Libertarian Party)",1469,3.43,"Legislative"
"LEGISLATIVE DISTRICT 19 - State Representative Pos. 2","WRITE-IN"," ",52,0.12,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Senator","John Braun","(Prefers Republican Party)",35738,95.4,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Senator","WRITE-IN"," ",1723,4.6,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Representative Pos. 1","Melvin Kaleolani Apana","(Prefers Culture Republican Party)",2768,7.02,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Representative Pos. 1","Peter Abbarno","(Prefers Republican Party)",35209,89.32,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Representative Pos. 1","WRITE-IN"," ",1440,3.65,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Representative Pos. 2","Ed Orcutt","(Prefers GOP Party)",34094,95.15,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Representative Pos. 2","WRITE-IN"," ",1739,4.85,"Legislative"
"Legislative District 21 - State Representative Pos. 1","Riaz Khan","(Prefers Republican Party)",9715,27.42,"Legislative"
"Legislative District 21 - State Representative Pos. 1","Jason Moon","(Prefers Democratic Party)",7746,21.86,"Legislative"
"Legislative District 21 - State Representative Pos. 1","Strom Peterson","(Prefers Democratic Party)",17893,50.5,"Legislative"
"Legislative District 21 - State Representative Pos. 1","WRITE-IN"," ",76,0.21,"Legislative"
"Legislative District 21 - State Representative Pos. 2","Bruce Guthrie","(Prefers Libertarian Party)",3555,10.19,"Legislative"
"Legislative District 21 - State Representative Pos. 2","Lillian Ortiz-Self","(Prefers Democratic Party)",23435,67.18,"Legislative"
"Legislative District 21 - State Representative Pos. 2","Kristina Mitchell","(Prefers Conservative Party)",7806,22.38,"Legislative"
"Legislative District 21 - State Representative Pos. 2","WRITE-IN"," ",86,0.25,"Legislative"
"Legislative District 22 - State Senator","Tela Hogle","(Prefers Democratic Party)",3597,8.46,"Legislative"
"Legislative District 22 - State Senator","Jessica Bateman","(Prefers Democratic Party)",29047,68.31,"Legislative"
"Legislative District 22 - State Senator","Bob Iyall","(Prefers Democratic Party)",8735,20.54,"Legislative"
"Legislative District 22 - State Senator","WRITE-IN"," ",1146,2.69,"Legislative"
"Legislative District 22 - State Representative Pos. 1","Beth Doglio","(Prefers Democratic Party)",33259,74.82,"Legislative"
"Legislative District 22 - State Representative Pos. 1","Steve Owens","(States No Party Preference)",10711,24.1,"Legislative"
"Legislative District 22 - State Representative Pos. 1","WRITE-IN"," ",483,1.09,"Legislative"
"Legislative District 22 - State Representative Pos. 2","Lisa Parshley","(Prefers Democratic Party)",25943,63.05,"Legislative"
"Legislative District 22 - State Representative Pos. 2","Syd Locke","(Prefers Democratic Party)",13801,33.54,"Legislative"
"Legislative District 22 - State Representative Pos. 2","WRITE-IN"," ",1403,3.41,"Legislative"
"Legislative District 23 - State Senator","Lance Byrd","(Prefers Republican Party)",14031,28.93,"Legislative"
"Legislative District 23 - State Senator","Drew Hansen","(Prefers Democratic Party)",32553,67.11,"Legislative"
"Legislative District 23 - State Senator","Ace Haynes","(Prefers Republican Party)",1866,3.85,"Legislative"
"Legislative District 23 - State Senator","WRITE-IN"," ",55,0.11,"Legislative"
"Legislative District 23 - State Representative Pos. 1","Tiffany Attrill","(Prefers Independent Party)",4046,8.34,"Legislative"
"Legislative District 23 - State Representative Pos. 1","Kurt Robertson","(Prefers Republican Party)",14973,30.87,"Legislative"
"Legislative District 23 - State Representative Pos. 1","Tarra Simmons","(Prefers Democratic Party)",29433,60.68,"Legislative"
"Legislative District 23 - State Representative Pos. 1","WRITE-IN"," ",55,0.11,"Legislative"
"Legislative District 23 - State Representative Pos. 2","Greg Nance","(Prefers Democratic Party)",22250,45.9,"Legislative"
"Legislative District 23 - State Representative Pos. 2","John Gibbons","(Prefers Democratic Party)",2487,5.13,"Legislative"
"Legislative District 23 - State Representative Pos. 2","Jamie Miles","(Prefers Republican Party)",14370,29.65,"Legislative"
"Legislative District 23 - State Representative Pos. 2","Brynn Felix","(Prefers Democratic Party)",9309,19.2,"Legislative"
"Legislative District 23 - State Representative Pos. 2","WRITE-IN"," ",56,0.12,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Senator","James Russell","(Prefers Democratic Party)",2859,4.94,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Senator","Mike Chapman","(Prefers Democratic Party)",31244,54.02,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Senator","Marcia Kelbon","(Prefers Republican Party)",23701,40.98,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Senator","WRITE-IN"," ",36,0.06,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 1","Matthew (Matt) Roberson","(Prefers Republican Party)",15182,26.65,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 1","JR Streifel","(Prefers Republican Party)",7896,13.86,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 1","Adam Bernbaum","(Prefers Democratic Party)",15743,27.64,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 1","Eric Pickens","(Prefers Democratic Party)",10051,17.65,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 1","Nate Tyler","(Prefers Democratic Party)",8052,14.14,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 1","WRITE-IN"," ",35,0.06,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 2","Terry Roberts","(Prefers Republican Party)",14835,25.77,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 2","Steve Tharinger","(Prefers Democratic Party)",34178,59.37,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 2","Hickory Grant","(Prefers Republican Party)",8506,14.78,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 2","WRITE-IN"," ",48,0.08,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Senator","Chris Gildon","(Prefers Republican Party)",20399,58.94,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Senator","Kenneth King","(Prefers Democratic Party)",14179,40.97,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Senator","WRITE-IN"," ",29,0.08,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 1","Cameron Severns","(Prefers Democratic Party)",15201,44.01,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 1","Michael Keaton","(Prefers Republican Party)",19302,55.89,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 1","WRITE-IN"," ",33,0.1,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 2","Cyndy Jacobsen","(Prefers Republican Party)",19658,56.99,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 2","Shellie Willis","(Prefers Democratic Party)",14800,42.9,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 2","WRITE-IN"," ",38,0.11,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 1","Jim Henderson","(Prefers Republican Party)",8326,16.45,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 1","Jesse L. Young","(Prefers Republican Party)",17137,33.87,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 1","Adison Richards","(Prefers Democratic Party)",25096,49.6,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 1","WRITE-IN"," ",41,0.08,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 2","Tiffiny Mitchell","(Prefers Democratic Party)",14909,29.77,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 2","Lori McPherson","(Prefers Democrat Party)",5236,10.46,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 2","Josh Smith","(States No Party Preference)",3814,7.62,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 2","Rachel Harter","(Prefers Republican Party)",9204,18.38,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 2","Michelle Caldier","(Prefers Republican Party)",16878,33.7,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 2","WRITE-IN"," ",40,0.08,"Legislative"
"Legislative District 27 - State Senator","Yasmin Trudeau","(Prefers Democratic Party)",27333,73.83,"Legislative"
"Legislative District 27 - State Senator","Carole Sue Braaten","(Prefers Republican Party)",9585,25.89,"Legislative"
"Legislative District 27 - State Senator","WRITE-IN"," ",104,0.28,"Legislative"
"Legislative District 27 - State Representative Pos. 1","Laurie Jinkins","(Prefers Democratic Party)",27220,73.41,"Legislative"
"Legislative District 27 - State Representative Pos. 1","Ken Paulson","(Prefers Republican Party)",9756,26.31,"Legislative"
"Legislative District 27 - State Representative Pos. 1","WRITE-IN"," ",102,0.28,"Legislative"
"Legislative District 27 - State Representative Pos. 2","Devin Rydel Kelly","(Prefers Democratic Party)",8962,26.95,"Legislative"
"Legislative District 27 - State Representative Pos. 2","Jake Fey","(Prefers Democratic Party)",23332,70.16,"Legislative"
"Legislative District 27 - State Representative Pos. 2","WRITE-IN"," ",962,2.89,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Senator","T'wina Nobles","(Prefers Democratic Party)",16724,54.75,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Senator","Maia Espinoza","(Prefers Republican Party)",13759,45.05,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Senator","WRITE-IN"," ",62,0.2,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 1","Mari Leavitt","(Prefers Democratic Party)",17953,59,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 1","Gabe Sachwitz","(Prefers Republican Party)",12440,40.88,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 1","WRITE-IN"," ",36,0.12,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 2","Dan Bronoske","(Prefers Democratic Party)",17739,58.72,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 2","Mark Herr","(Prefers Republican Party)",12432,41.15,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 2","WRITE-IN"," ",39,0.13,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 1","Melanie Morgan","(Prefers Democratic Party)",12983,67.49,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 1","Richard Miller","(Prefers Democratic Party)",5165,26.85,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 1","WRITE-IN"," ",1090,5.67,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 2","Sharlett Mena","(Prefers Democratic Party)",16375,92.41,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 2","WRITE-IN"," ",1345,7.59,"Legislative"
"Legislative District 30 - State Representative Pos. 1","Jamila E. Taylor","(Prefers Democratic Party)",14834,57.06,"Legislative"
"Legislative District 30 - State Representative Pos. 1","Melissa Hamilton","(Prefers Republican Party)",11144,42.86,"Legislative"
"Legislative District 30 - State Representative Pos. 1","WRITE-IN"," ",20,0.08,"Legislative"
"Legislative District 30 - State Representative Pos. 2","Kristine M. Reeves","(Prefers Democratic Party)",15358,59.2,"Legislative"
"Legislative District 30 - State Representative Pos. 2","Quentin Morris","(Prefers Republican Party)",10567,40.73,"Legislative"
"Legislative District 30 - State Representative Pos. 2","WRITE-IN"," ",16,0.06,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 1","Drew Stokesbary","(Prefers Republican Party)",24863,63.78,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 1","Sara Sutterfield","(Prefers Democratic Party)",14072,36.1,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 1","WRITE-IN"," ",46,0.12,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 2","Bill Thomas","(Prefers Democratic Party)",2633,6.84,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 2","Joshua Penner","(Prefers Republican Party)",14825,38.52,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 2","Brian L. Gunn","(Prefers Democratic Party)",11625,30.2,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 2","Brandon Beynon","(Prefers Republican Party)",9344,24.28,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 2","WRITE-IN"," ",64,0.17,"Legislative"
"Legislative District 32 - State Representative Pos. 1","Cindy Ryu","(Prefers Democratic Party)",31179,76.42,"Legislative"
"Legislative District 32 - State Representative Pos. 1","Lisa Rezac","(Prefers Republican Party)",9562,23.44,"Legislative"
"Legislative District 32 - State Representative Pos. 1","WRITE-IN"," ",59,0.14,"Legislative"
"Legislative District 32 - State Representative Pos. 2","Lori Theis","(Prefers Republican Party)",9389,23.29,"Legislative"
"Legislative District 32 - State Representative Pos. 2","Lauren Davis","(Prefers Democratic Party)",28208,69.96,"Legislative"
"Legislative District 32 - State Representative Pos. 2","Dunia Wabenga","(Prefers Democratic Party)",2690,6.67,"Legislative"
"Legislative District 32 - State Representative Pos. 2","WRITE-IN"," ",33,0.08,"Legislative"
"Legislative District 33 - State Representative Pos. 1","George Richter","(Prefers Republican Party)",8297,29.58,"Legislative"
"Legislative District 33 - State Representative Pos. 1","Tina L. Orwall","(Prefers Democratic Party)",19705,70.26,"Legislative"
"Legislative District 33 - State Representative Pos. 1","WRITE-IN"," ",45,0.16,"Legislative"
"Legislative District 33 - State Representative Pos. 2","Mia Su-Ling Gregerson","(Prefers Democratic Party)",19534,73.15,"Legislative"
"Legislative District 33 - State Representative Pos. 2","Casey Esmond","(States No Party Preference)",7004,26.23,"Legislative"
"Legislative District 33 - State Representative Pos. 2","WRITE-IN"," ",166,0.62,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 1","Kimberly M. Cloud","(Prefers Republican Party)",5848,13.34,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 1","Emily Alvarado","(Prefers Democratic Party)",37901,86.46,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 1","WRITE-IN"," ",86,0.2,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 2","Joe Fitzgibbon","(Prefers Democratic Party)",37571,85.36,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 2","Jolie Lansdowne","(Prefers Republican Party)",6398,14.54,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 2","WRITE-IN"," ",47,0.11,"Legislative"
"Legislative District 35 - State Representative Pos. 1","Dan Griffey","(Prefers Republican Party)",33821,92.55,"Legislative"
"Legislative District 35 - State Representative Pos. 1","WRITE-IN"," ",2723,7.45,"Legislative"
"LEGISLATIVE DISTRICT 35 - State Representative Pos. 2","Eric Onisko","(Prefers (GOP) Republican Party)",4951,10.17,"Legislative"
"LEGISLATIVE DISTRICT 35 - State Representative Pos. 2","Travis Couture","(Prefers Republican Party)",22722,46.66,"Legislative"
"LEGISLATIVE DISTRICT 35 - State Representative Pos. 2","James DeHart","(Prefers Democratic Party)",20952,43.02,"Legislative"
"LEGISLATIVE DISTRICT 35 - State Representative Pos. 2","WRITE-IN"," ",75,0.15,"Legislative"
"Legislative District 36 - State Representative Pos. 1","Julia Grant Reed","(Prefers Democratic Party)",40426,98.39,"Legislative"
"Legislative District 36 - State Representative Pos. 1","WRITE-IN"," ",660,1.61,"Legislative"
"Legislative District 36 - State Representative Pos. 2","Victoria Palmer","(Prefers Republican Party)",4737,9.97,"Legislative"
"Legislative District 36 - State Representative Pos. 2","Liz Berry","(Prefers Democratic Party)",42671,89.84,"Legislative"
"Legislative District 36 - State Representative Pos. 2","WRITE-IN"," ",89,0.19,"Legislative"
"Legislative District 37 - State Representative Pos. 1","Sharon Tomiko Santos","(Prefers Democratic Party)",32609,98.13,"Legislative"
"Legislative District 37 - State Representative Pos. 1","WRITE-IN"," ",620,1.87,"Legislative"
"Legislative District 37 - State Representative Pos. 2","Chipalo Street","(Prefers Democratic Party)",33513,93.91,"Legislative"
"Legislative District 37 - State Representative Pos. 2","Matt McCally","(Prefers Libertarian Party)",1972,5.53,"Legislative"
"Legislative District 37 - State Representative Pos. 2","WRITE-IN"," ",200,0.56,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 1","Bryce Nickel","(Prefers Forward &amp; Democrat Party)",3816,13.42,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 1","Julio Cortes","(Prefers Democratic Party)",17381,61.12,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 1","Annie Fitzgerald","(Prefers Democratic Party)",5679,19.97,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 1","WRITE-IN"," ",1562,5.49,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 2","Mary Fosse","(Prefers Democratic Party)",20207,61.55,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 2","Marnie Claywell","(Prefers Republican Party)",12536,38.18,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 2","WRITE-IN"," ",89,0.27,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Senator","John Snow","(Prefers Democratic Party)",12569,30.79,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Senator","Keith L. Wagoner","(Prefers Republican Party)",24358,59.68,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Senator","Tim McDonald","(Prefers Democrat Party)",3849,9.43,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Senator","WRITE-IN"," ",40,0.1,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 1","Kathryn Lewandowsky","(Prefers Independent Party)",5935,14.51,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 1","Sam Low","(Prefers Republican Party)",15864,38.79,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 1","Zephaniah Borynack","(Prefers Democrat Party)",7751,18.95,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 1","Robert J. Sutherland","(Prefers Republican Party)",11302,27.63,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 1","WRITE-IN"," ",47,0.11,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 2","Carolyn Eslick","(Prefers Republican Party)",23080,64.86,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 2","Jackie Huey","(Prefers Republican Party)",11214,31.52,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 2","WRITE-IN"," ",1289,3.62,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Senator","Elizabeth (Liz) Lovelett","(Prefers Democratic Party)",34724,71.11,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Senator","Charles Carrell","(Prefers Republican Party)",14015,28.7,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Senator","WRITE-IN"," ",92,0.19,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Representative Pos. 1","Debra Lekanoff","(Prefers Democratic Party)",35225,95.48,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Representative Pos. 1","WRITE-IN"," ",1669,4.52,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Representative Pos. 2","Alex Ramel","(Prefers Democratic Party)",34809,95.28,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Representative Pos. 2","WRITE-IN"," ",1723,4.72,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Senator","Lisa Wellman","(Prefers Democratic Party)",27935,73.34,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Senator","Jaskaran Singh Sarao","(Prefers Republican Party)",10059,26.41,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Senator","WRITE-IN"," ",97,0.25,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 1","Emily Tadlock","(Prefers Republican Party)",10719,27.76,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 1","Tana Senn","(Prefers Democratic Party)",27122,70.23,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 1","Stan Lippmann","(Prefers Antiadministration Party)",714,1.85,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 1","WRITE-IN"," ",64,0.17,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 2","Pamela J Randolph","(Prefers Republican Party)",4938,12.78,"Legislative"
